Journal	Volume	Issue	Article	Author(s)	Discriptive	Inferential	Modelling	No stats	Number	allMethods
Natural Language Engineering	21	3	Hierarchical reinforcement learning for situated natural language generation	NINA DETHLEFS and HERIBERTO CUAYÃHUITL	mean, factor analysis	bootsrapping (?), multiple linear regression		FALSE	4	mean, factor analysis bootsrapping (?), multiple linear regression 
Natural Language Engineering	21	3	Experiments with three approaches to recognizing lexical entailment	P. D. TURNEY and S. M. MOHAMMAD	Precision, recall, Fmeasure, and accuracy	Fishers Exact Test,		FALSE	4	Precision, recall, Fmeasure, and accuracy Fishers Exact Test, 
Natural Language Engineering	21	3	A survey of automatic Arabic diacritization techniques	AQIL M. AZMI and REHAM S. ALMAJED			Hidden Markov Model (HMM), ngram, SMT, and finite state transducers (FST)	FALSE	4	  Hidden Markov Model (HMM), ngram, SMT, and finite state transducers (FST)
Natural Language Semantics	23	2	Experimental investigations of ambiguity: the case of most	Hadas Kotek, Yasutada Sudo, Martin Hackl	mean, standard error	mixedeffects logit model		FALSE	3	mean, standard error mixedeffects logit model 
Natural Language Semantics	23	2	The interpretation of the logophoric pronoun in Ewe	Hazel Pearson				TRUE	0	  
Oceanic Linguistics	53	2	Vowel Length in Niuean	Nicholas Rolle, Donna Starks	mean	TTEST, WILCOXON TEST		FALSE	3	mean TTEST, WILCOXON TEST 
Oceanic Linguistics	53	2	The Nature and Underlying Representations of Long Vowels and Diphthongs in Fataluku	Tyler Heston				TRUE	0	  
Oceanic Linguistics	53	2	Some Recent Proposals Concerning the Classification of the Austronesian Languages	Robert Blust				TRUE	0	  
Oceanic Linguistics	53	2	Pukapukan and the NOEPn Hypothesis: Extensive Late Borrowing by Pukapukan	William H. Wilson				TRUE	0	  
Oceanic Linguistics	53	2	Positional Verbs in Nen	Nicholas Evans				TRUE	0	  
Oceanic Linguistics	53	2	Malagasy Personal Pronouns: A Lexical History	Alexander Adelaar, Kikusawa Ritsuko				TRUE	0	  
Oceanic Linguistics	53	2	Gradual Epenthesis: Echo Vowels in Austronesian Languages	KuoChiao Lin				TRUE	0	  
Oceanic Linguistics	53	2	Eastern Polynesian: The Linguistic Evidence Revisited	Mary Walworth				TRUE	0	  
Oceanic Linguistics	53	2	Complex Noun Phrases and Formal Licensing in Isbukun Bunun	Hsiaohung Iris Wu				TRUE	0	  
Phonetica	71	4	Prosodic Realization of Focus in Bilingual Production of Southern Min and Mandarin	Chen Y. Â· Xu Y. Â· GuionAnderson S.	mean,	repeated measures anova, independent samples ttests, Linear regressions		FALSE	4	mean, repeated measures anova, independent samples ttests, Linear regressions 
Phonetica	71	4	Gestural Control in the English PastTense Suffix: An Articulatory Study Using RealTime MRI	Lammert A. Â· Goldstein L. Â· Ramanarayanan V. Â· Narayanan S.	coefficient of determination	Wilcoxons signed ranktest, Wilcoxons ranksum test,		FALSE	3	coefficient of determination Wilcoxons signed ranktest, Wilcoxons ranksum test, 
Phonetica	71	4	Fundamental Frequency Range in Japanese and English: The Case of Simultaneous Bilinguals	Graham C.		something but can't access		FALSE	0	 something but can't access 
Phonology	31	3	Domain generalisation in artificial language learning	Scott Myers and Jaye Padgett	average, ci,	anova, mixed model logistic regression		FALSE	4	average, ci, anova, mixed model logistic regression 
Phonology	31	3	Contrastive tonal alignment in falling contours in Shilluk	Bert Remijsen and Otto Gwado Ayoker	average, Levene's Test	anova, pairwise ttests with Bonferroni correction		FALSE	4	average, Levene's Test anova, pairwise ttests with Bonferroni correction 
Phonology	31	3	Compound tensification and laryngeal cooccurrence restrictions in Yanbian Korean	Chiyuki Ito	mean, standard error	linear/quadratic/cubic models, pearson's r, linear regression, ttest,Pearson's chi2 test with Yates' continuity correction, anova, Tukey's multiple comparison test, linear mixed model		FALSE	10	mean, standard error linear/quadratic/cubic models, pearson's r, linear regression, ttest,Pearson's chi2 test with Yates' continuity correction, anova, Tukey's multiple comparison test, linear mixed model 
Phonology	31	3	Generalised mora affixation and quantitymanipulating morphology	Jochen Trommer and Eva Zimmermann				TRUE	0	  
Phonology	31	3	Evidence for infixation after the first syllable: data from a Papuan language	Jennifer Wilson				TRUE	0	  
Probus	27	1	The rise and fall of the Lshaped morphome: diachronic and experimental studies	Nevins, Andrew / Rodrigues, Cilene / Tang, Kevin	probability density, mean,	logistic mixedeffects models, nonparametric paired ttests, Wilcoxon signed rank test, nonparametric Kendall Ï„ rank		FALSE	6	probability density, mean, logistic mixedeffects models, nonparametric paired ttests, Wilcoxon signed rank test, nonparametric Kendall Ï„ rank 
Probus	27	1	The acquisition of melodic form and meaning in yesno interrogatives by Catalan and Spanish speaking children	Thorson, Jill / BorrasComes, Joan / CrespoSendra, VerÃ²nica / Vanrell, Maria del Mar / Prieto, Pilar	means			FALSE	1	means  
Probus	27	1	The expression of evidentiality and epistemicity: Cases of grammaticalization in Italian and Sicilian	Cruschina, Silvio				TRUE	0	  
Probus	27	1	French adverbial clauses, rescue by ellipsis and the truncation versus intervention debate	Authier, J.Marc / Haegeman, Liliane				TRUE	0	  
Probus	27	1	French expressive motion verbs as functional heads	Tellier, Christine				TRUE	0	  
Reading in a Foreign Language	27	1	The influence of translation on reading amount, proficiency, and speed in extensive reading	Nobuko Sakurai	mean, sd	oneway anova, Twotailed paired ttest, cloze tests, pearson's r,		FALSE	5	mean, sd oneway anova, Twotailed paired ttest, cloze tests, pearson's r, 
Reading in a Foreign Language	27	1	Reading and learning from L2 text: Effects of reading goal, topic familiarity, and language proficiency	Yukie Horiba & Keiko Fukaya	mean, sd, ci	threeway anova		FALSE	3	mean, sd, ci threeway anova 
Reading in a Foreign Language	27	1	Language learner strategy by Chinesespeaking EFL readers when comprehending familiar and unfamiliar texts	JiaYing Lee	mean, sd,	anova		FALSE	2	mean, sd, anova 
Reading in a Foreign Language	27	1	First language graphemephoneme transparency effects in adult secondlanguage learning	Elizabeth Ijalba & Loraine K. Obler	mean, sd	crossed random effects modeling (CREM), paired sample ttest		FALSE	3	mean, sd crossed random effects modeling (CREM), paired sample ttest 
Reading in a Foreign Language	27	1	Effects of forward and backward contextual elaboration on lexical inferences: Evidence from a semantic relatedness judgment task	Akira Hamada	mean, sd,	twoway anova		FALSE	2	mean, sd, twoway anova 
Second Language Research	31	3	The processing of case in nearnative Spanish	Jill Jegerski	mean, standard error	mixed design anova,pairedsamples ttests		FALSE	4	mean, standard error mixed design anova,pairedsamples ttests 
Second Language Research	31	3	The production of gender agreement in native and L2 Spanish: The role of morphophonological form	Rebecca Foote	root mean square error (RMSE)	Oneway anova, independent ttests	Marking and Morphing model	FALSE	4	root mean square error (RMSE) Oneway anova, independent ttests Marking and Morphing model
Second Language Research	31	3	Second language acquisition across modalities: Production variability in adult L2 learners of American Sign Language	Allison I Hilger, Torrey MJ Loucks, David QuintoPozos, and Matthew WG Dye	mean, sd	Linear mixed models		FALSE	2	mean, sd Linear mixed models 
Second Language Research	31	3	Production and online comprehension of definiteness in English and Dutch by monolingual and sequential bilingual children	Vasiliki Chondrogianni, Nada VasiÄ‡, Theodoros Marinis, and Elma Blom	Accuracy, mean, sd,	repeatedmeasures anova, Paired samples ttests		FALSE	4	Accuracy, mean, sd, repeatedmeasures anova, Paired samples ttests 
Second Language Research	31	3	Advanced learners comprehension of discourse connectives: The role of L1 transfer across online and offline tasks	Sandrine Zufferey, Willem Mak, Liesbeth Degand, and Ted Sanders	mean, ci,	oneway betweenparticipants anova, Independent sample ttests, Repeated Measures anova		FALSE	4	mean, ci, oneway betweenparticipants anova, Independent sample ttests, Repeated Measures anova 
Semantics and Pragmatics	8		The ingredients of comparison: The semantics of the excessive construction in Japanese	Xiao Li				TRUE	0	  
Semantics and Pragmatics	8		The Degree Semantics Parameter and crosslinguistic variation	M. Ryan Bochnak				TRUE	0	  
Semantics and Pragmatics	8		On the semantics and pragmatics of epistemic vocabulary	Sarah Moss				TRUE	0	  
Semantics and Pragmatics	8		Negraising and positive polarity: The view from modals	Vincent Homer				TRUE	0	  
Semantics and Pragmatics	8		Incremental quantification and the dynamics of pairlist phenomena	Dylan Bumford				TRUE	0	  
Semantics and Pragmatics	8		Dual Content Semantics, privative adjectives, and dynamic compositionality	Guillermo Del Pinal				TRUE	0	  
Semantics and Pragmatics	8		Chimerical conditionals	Itamar Francez				TRUE	0	  
Semantics and Pragmatics	8		A "deFregean" semantics (and neoGricean pragmatics) for modified and unmodified numerals	Christopher Kennedy				TRUE	0	  
Semantics and Pragmatics	8		The role of givenness, presupposition, and prosody in Czech word order: An experimental study	Radek Å imÃ­k, Marta Wierzba		Cliffs Î´, a cumulative link model, ttest			3	 Cliffs Î´, a cumulative link model, ttest 
Semantics and Pragmatics	8		Sentenceinternal "same" and its quantificational licensors: A new window into the processing of inverse scope	Adrian Brasoveanu, Jakub DotlaÄil	mean, se,	linear mixedeffects regression, chi2			4	mean, se, linear mixedeffects regression, chi2 
Semantics and Pragmatics	8		Investigating the distribution of some (but not all) implicatures using corpora and webbased methods	Judith Degen	mean	linear mixedeffectsregression models, ttest, chi square, correlation			4	mean linear mixedeffectsregression models, ttest, chi square, correlation 
Sign Language and Linguistics	17	1	Scalar implicatures in a signed language	Kathryn Davidson	mean, sd	ttest, anova		FALSE	2	mean, sd ttest, anova 
Sign Language and Linguistics	17	1	Nonnative or native vocabulary in Mexican Sign Language	Bernadet Hendriks and Shelley Dufoe	mean			FALSE	1	mean  
Sign Language and Linguistics	17	1	Do repeated references result in sign reduction?	Marieke Hoetjes, Emiel Krahmer and Marc Swerts	mean, sd	anova		FALSE	2	mean, sd anova 
Sign Language and Linguistics	17	1	A quantitative analysis of sign lengthening in American Sign Language	Jesse Stewart	mean	mixed effects model		FALSE	2	mean mixed effects model 
Sign Language Studies	15	3	The Making of the Shillong Sign Language Multimedia Lexicon (ShSL MML)	Melissa G. Wallang				TRUE	0	  
Sign Language Studies	15	3	OnDemand American Sign Language Interpreting Services: Social Policy Development in the Yukon	Jonathon S. Breen				TRUE	0	  
Sign Language Studies	15	3	Mediating Native Swedish Sign Language: First Language in Gestural Modality Interactions at Storytime	Emelie CramÃ©rWolrath				TRUE	0	  
Sign Language Studies	15	3	Errors and Feedback in the Beginner Auslan Classroom	Louisa Willoughby, Stephanie Linder, Kirsten Ellis, Julie Fisher	mean,				1	mean,  
Sign Language Studies	15	3	ASL Skills, Fingerspelling Ability, Home Communication Context and Early Alphabetic Knowledge of PreschoolAged Deaf Children	Thomas E. Allen	mean, sd, Correlation Matrix	recursive regression model, R2, oneway anova	path model, structural equation model		7	mean, sd, Correlation Matrix recursive regression model, R2, oneway anova path model, structural equation model
Speech Communication	72		Wavelet leader multifractal analysis of period and amplitude sequences from sustained vowels	Roberto F. Leonarduzzi, Gabriel A. Alzamendi, GastÃ³n Schlotthauer, MarÃ­a E. Torres	bootstrapbased confidence intervals	Wilcoxon ranksum tests, Wilcoxon signrank tests	Discriminatory analysis		4	bootstrapbased confidence intervals Wilcoxon ranksum tests, Wilcoxon signrank tests Discriminatory analysis
Speech Communication	72		Voice source under cognitive load: Effects and classification	Tet Fei Yap, Julien Epps, Eliathamby Ambikairajah, Eric H.C. Choi	means, normal	Correlation coefficients	Gaussian mixture model classifier with universal background model		4	means, normal Correlation coefficients Gaussian mixture model classifier with universal background model
Speech Communication	72		Statistical parametric speech synthesis using a hidden trajectory model	MingQi Cai, ZhenHua Ling, LiRong Dai			hidden trajectory model		1	  hidden trajectory model
Speech Communication	72		Speech intelligibility tests and analysis of confusions and perceptual representations of Thai initial consonants	Charturong Tantibundhit, Chutamanee Onsuwan	signaltonoise ratios	Paired ttest, z scores	probabilistic linear discriminant analysis (PLDA)		4	signaltonoise ratios Paired ttest, z scores probabilistic linear discriminant analysis (PLDA)
Speech Communication	72		Quality measures based calibration with duration and noise dependency for speaker recognition	Miranti Indar Mandasari, Rahim Saeidi, David A. van Leeuwen	normalized Bayes error rate (NBE)				1	normalized Bayes error rate (NBE)  
Speech Communication	72		Mean Hilbert envelope coefficients (MHEC) for robust speaker and language identification	Seyed Omid Sadjadi, John H.L. Hansen			support vector machines (SVM) (Dehak et al., 2011 and Han et al., 2013), probabilistic linear discriminant Analysis (PLDA) (Prince and Elder, 2007, GarciaRomero and EspyWilson, 2011 and McLaren et al., 2013), adaptive Gaussian backend (AGB) (Lawson et al., 2013), neural networks (NN) (Lawson et al., 2013 and MatÄ›jka et al., 2012), and the simple yet effective cosine distance (CD) based scoring (Dehak et al., 2011) which is typically combined with LDA (Fukunaga, 1990) followed by withinclass covariance normalization (WCCN)		7	  support vector machines (SVM) (Dehak et al., 2011 and Han et al., 2013), probabilistic linear discriminant Analysis (PLDA) (Prince and Elder, 2007, GarciaRomero and EspyWilson, 2011 and McLaren et al., 2013), adaptive Gaussian backend (AGB) (Lawson et al., 2013), neural networks (NN) (Lawson et al., 2013 and MatÄ›jka et al., 2012), and the simple yet effective cosine distance (CD) based scoring (Dehak et al., 2011) which is typically combined with LDA (Fukunaga, 1990) followed by withinclass covariance normalization (WCCN)
Speech Communication	72		Hierarchical stress modeling and generation in mandarin for expressive TexttoSpeech	Ya Li, Jianhua Tao, Keikichi Hirose, Xiaoying Xu, Wei Lai	Fscore, principal component analysis		novel model		3	Fscore, principal component analysis  novel model
Speech Communication	72		Fast distributed multichannel speech enhancement using novel frequency domain estimators of magnitudesquared spectrum	Jingxian Tu, Youshen Xia	segmental signal to noise radio (SSNR) improvement, the loglikelihood ratio		multichannel algorithm		3	segmental signal to noise radio (SSNR) improvement, the loglikelihood ratio  multichannel algorithm
Speech Communication	72		Automatic versus human speaker verification: The case of voice mimicry	Rosa GonzÃ¡lez HautamÃ¤ki, Tomi Kinnunen, Ville HautamÃ¤ki, AnneMaria Laukkanen	false acceptance rate, equal error rate,	rsquared, PLDA	Gaussian mixture model  universal background model, ivector system, cosine scoring , probabilistic linear discriminant analysis (PLDA)		8	false acceptance rate, equal error rate, rsquared, PLDA Gaussian mixture model  universal background model, ivector system, cosine scoring , probabilistic linear discriminant analysis (PLDA)
Speech Communication	72		Autonomous selection of ivectors for PLDA modelling in speaker verification	Sangeeta Biswas, Johan Rohdin, Koichi Shinoda	false acceptance (FA), false rejection (FR)		PLDA, joint factor analysis		4	false acceptance (FA), false rejection (FR)  PLDA, joint factor analysis
Speech Communication	72		A reverberation robust target speech detection method using dualmicrophone in distanttalking scene	Xiaofei Wang, Yanmeng Guo, Chao Wu, Qiang Fu, Yonghong Yan	False Acceptance Rate (FAR) and False Rejection Rate (FRR)		novel model		3	False Acceptance Rate (FAR) and False Rejection Rate (FRR)  novel model
Studia Linguistica	69	1	Dutch ('t) schijnt and german scheint(')s: on the grammaticalization of evidential particles (pages 86â€“117)	Julie Van Bogaert and Torsten Leuschne				TRUE	0	  
Studia Linguistica	69	1	Deriving island constraints with searle and grice. A pragmatic account of bridge verbs (pages 1â€“57)	Sonja MÃ¼ller				TRUE	0	  
Studia Linguistica	69	1	Argument Ellipsis in Javanese and Voice Agreement (pages 58â€“85)	Yosuke Sato				TRUE	0	  
Studies in Second Language Acquisition	37	2	TRIANGULATING MEASURES OF AWARENESS	Patrick Rebuschat and Phillip Hamrick and Kate Riestenberg and Rebecca Sachs and Nicole Ziegler		Onesample t tests, Onesample t tests, Welchs F , mixed anova , Bonferroni pairwise comparisons			5	 Onesample t tests, Onesample t tests, Welchs F , mixed anova , Bonferroni pairwise comparisons 
Studies in Second Language Acquisition	37	2	TIMED AND UNTIMED GRAMMATICALITY JUDGMENTS MEASURE DISTINCT TYPES OF KNOWLEDGE	Aline Godfroid and Shawn Loewen and Sehoon Jung and JiHyun Park and Susan Gass and Rod Ellis	Accuracy	Multinomial logistic regression, odds ratios ,			2	Accuracy Multinomial logistic regression, odds ratios , 
Studies in Second Language Acquisition	37	2	IMPLICIT LEARNING OF SEMANTIC PREFERENCES OF VERBS	Albertyna Paciorek and John N. Williams		anovas , proportions of positive responses			2	 anovas , proportions of positive responses 
Studies in Second Language Acquisition	37	2	HOW EXPLICIT KNOWLEDGE AFFECTS ONLINE L2 PROCESSING	Sible Andringa and Maja Curcic		fully specified GLME			1	 fully specified GLME 
Studies in Second Language Acquisition	37	2	FACTORS INFLUENCING SENSITIVITY TO LEXICAL TONE IN AN ARTIFICIAL LANGUAGE	Catherine L. CaldwellHarris and Alia Lancaster and D. Robert Ladd and Dan Dediu and Morten H. Christiansen		oneway anova, Tukeys LSD , pearson's r, anova, multiple regression			5	 oneway anova, Tukeys LSD , pearson's r, anova, multiple regression 
Studies in Second Language Acquisition	37	2	EXPLORING THE INTERFACE	Myrna CintrÃ³nValentÃ­n and Nick C. Ellis		anova, Tukey HSD tests , Regression analyses, Pearson correlations, Fishers LSD			5	 anova, Tukey HSD tests , Regression analyses, Pearson correlations, Fishers LSD 
Studies in Second Language Acquisition	37	2	A VIEW OF THE NEURAL REPRESENTATION OF SECOND LANGUAGE SYNTAX THROUGH ARTIFICIAL LANGUAGE LEARNING UNDERIMPLICIT CONTEXTS OF EXPOSURE	Kara MorganShort and ZhiZhou Deng and Katherine A. BrillSchuetz and Mandy FarettaStutenberg and Patrick C. M. Wong and Francis C. K.		mixedeffects anova, general linear model			2	 mixedeffects anova, general linear model 
Syntax	18	2	Symmetric Merge and Local Instability: Evidence from Split Topics (pages 157â€“200)	Dennis Ott				TRUE	0	  
Syntax	18	2	Embedded Ancient Greek Imperatives: A Feature Transfer Analysis (pages 124â€“156)	David J. Medeiros				TRUE	0	  
Syntax	18	2	Complex Numeral Expressions: A Plea for Grafts (pages 103â€“123)	AndrÃ© Meinunger				TRUE	0	  
Transactions of the Association for Computational Linguistics	3		Improving Distributional Similarity with Lessons Learned from Word Embeddings	Omer Levy, Yoav Goldberg, Ido Dagan	percentages		comparison of neural networks and countbased models	TRUE	0	percentages  comparison of neural networks and countbased models
Transactions of the Association for Computational Linguistics	3		Which Step Do I Take First? Troubleshooting with Bayesian Models	Annie Louis, Mirella Lapata	Kendalls Ï„ (for annotator agreemnt)		Hidden Markov Model, d SVM rankingmodels		4	Kendalls Ï„ (for annotator agreemnt)  Hidden Markov Model, d SVM rankingmodels
Transactions of the Association for Computational Linguistics	3		Wei Xu, Chris CallisonBurch, Courtney Napoles	Wei Xu, Chris CallisonBurch, Courtney Napoles			Logoddsratio analysis		1	  Logoddsratio analysis
Transactions of the Association for Computational Linguistics	3		Unsupervised Declarative Knowledge Induction for ConstraintBased Learning of Information Structure in Scientific Documents	Yufan Guo, Roi Reichart, Anna Korhonen	F1score and overall accuracy (Acc.)	ttest	Latent Dirichlet Allocation (		3	F1score and overall accuracy (Acc.) ttest Latent Dirichlet Allocation (
Transactions of the Association for Computational Linguistics	3		SPRITE: Generalizing Topic Models with Structured Priors	Michael J. Paul, Mark Dredze	mean, sd	linearregression model	Latent Dirichlet Allocation, linear regression model		4	mean, sd linearregression model Latent Dirichlet Allocation, linear regression model
Transactions of the Association for Computational Linguistics	3		Reasoning about Quantities in Natural Language	Subhro Roy, Tim Vieira, Dan Roth	means, percents,				1	means, percents,  
Transactions of the Association for Computational Linguistics	3		One Vector is Not Enough: EntityAugmented Distributed Semantics for Discourse Relations	Yangfeng Ji, Jacob Eisenstein		binomial test	novel model		2	 binomial test novel model
Transactions of the Association for Computational Linguistics	3		Modelling and Optimizing on Syntactic NGrams for Statistical Machine Translation	Rico Sennrich		Kendalls Ï„ correlation			1	 Kendalls Ï„ correlation 
Transactions of the Association for Computational Linguistics	3		Learning a Compositional Semantics for Freebase with an Open Predicate Vocabulary	Jayant Krishnamurthy, Tom M. Mitchell	avg, precision	sign test			2	avg, precision sign test 
Transactions of the Association for Computational Linguistics	3		Learning Composition Models for Phrase Embeddings	Mo Yu, Mark Dredze	perplexity, loss		MRR		3	perplexity, loss  MRR
Transactions of the Association for Computational Linguistics	3		Improving Topic Models with Latent Feature Word Representations	Dat Quoc Nguyen, Richard Billingsley, Lan Du, Mark Johnson	NPMI, Purity and NMI , F1		Dirichlet Multinomial Mixture, e Latent Dirichlet Allocation (LDA)		5	NPMI, Purity and NMI , F1  Dirichlet Multinomial Mixture, e Latent Dirichlet Allocation (LDA)
Transactions of the Association for Computational Linguistics	3		Higherorder Lexical Semantic Models for Nonfactoid Answer Reranking	Daniel Fried, Peter Jansen, Gustave HahnPowell, Mihai Surdeanu, Peter Clark	average, minimum, andmaximum pairwise similarities.	onetailed nonparametric bootstrap resampling using 10,000 iterations	Neural Network		5	average, minimum, andmaximum pairwise similarities. onetailed nonparametric bootstrap resampling using 10,000 iterations Neural Network
Transactions of the Association for Computational Linguistics	3		Gappy Pattern Matching on GPUs for OnDemand Extraction of Hierarchical Translation Grammars	Hua He, Jimmy Lin, Adam Lopez			algorithm devlopment		1	  algorithm devlopment
Transactions of the Association for Computational Linguistics	3		From Paraphrase Database to Compositional Paraphrase Model and Back	John Wieting, Mohit Bansal, Kevin Gimpel, Karen Livescu		1000dimensional skipgram vectors			1	 1000dimensional skipgram vectors 
Transactions of the Association for Computational Linguistics	3		From Visual Attributes to Adjectives through Decompositional Distributional Semantics	Angeliki Lazaridou, Georgiana Dinu, Adam Liska, Marco Baroni		correlation Ï			1	 correlation Ï 
Transactions of the Association for Computational Linguistics	3		Exploiting Parallel News Streams for Unsupervised Event Extraction	Congle Zhang, Stephen Soderland, Daniel S. Weld	percent increase, pseudorecall		algorithms		3	percent increase, pseudorecall  algorithms
Transactions of the Association for Computational Linguistics	3		Entity Disambiguation with Web Links	Andrew Chisholm, Ben Hachey	confidence interval		SVM, Ablation analysis		3	confidence interval  SVM, Ablation analysis
Transactions of the Association for Computational Linguistics	3		Efficient Inference and Structured Learning for Semantic Role Labeling	Oscar TÃ¤ckstrÃ¶m, Kuzman Ganchev, Dipanjan Das	g precision, recall and F1score	paired bootstrap test			4	g precision, recall and F1score paired bootstrap test 
Transactions of the Association for Computational Linguistics	3		Domain Adaptation for Syntactic and Semantic Dependency Parsing Using Deep Belief Networks	Haitong Yang, Tao Zhuang, Chengqing Zong			DBN, LFR		2	  DBN, LFR
Transactions of the Association for Computational Linguistics	3		Design Challenges for Entity Linking	Xiao Ling, Sameer Singh, Daniel S. Weld	coherence measures, Endtoend performance				2	coherence measures, Endtoend performance  
Transactions of the Association for Computational Linguistics	3		CrossDocument CoReference Resolution using SampleBased Clustering with Knowledge Enrichment	Sourav Dutta, Gerhard Weikum	F1 (precision and recall), Ï†3CEAF				3	F1 (precision and recall), Ï†3CEAF  
Transactions of the Association for Computational Linguistics	3		Combining Minimallysupervised Methods for Arabic Named Entity Recognition	Maha Althobaiti, Udo Kruschwitz, Massimo Poesio	precision, recall, f1	bootstrap sampling, nonparametric sign test	Independent Bayesian ClassifierCombination		6	precision, recall, f1 bootstrap sampling, nonparametric sign test Independent Bayesian ClassifierCombination
Transactions of the Association for Computational Linguistics	3		A SenseTopic Model for Word Sense Induction with Unsupervised Data Enrichment	Jing Wang, Mohit Bansal, Kevin Gimpel, Brian D. Ziebart, Clement T. Yu			latent Dirichlet allocation		1	  latent Dirichlet allocation
Transactions of the Association for Computational Linguistics	3		An Unsupervised Method for Uncovering Morphological Chains	Karthik Narasimhan, Regina Barzilay, Tommi Jaakkola	Precision, Recall and F1				3	Precision, Recall and F1  
Transactions of the Association for Computational Linguistics	3		A Bayesian Model of Grounded Color Semantics	Brian McMahan, Matthew Stone	Perplexity	Akaike Information Criterion, Binomial test	linear interpolation method, DAG, histogram model		6	Perplexity Akaike Information Criterion, Binomial test linear interpolation method, DAG, histogram model
